Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
AMSC	$10.89 	-0.31	-2.77%	309225754	185021					
AMSF	$53.12 	0.96	1.84%	1028618548	43014					
AMSWA	$26.01 	-0.2	-0.76%	871276816	70707					
AMT	$288.49 	2.73	0.96%	1.31382E+11	1065605					
AMTB	$34.84 	0.09	0.26%	1292676986	86909					
AMTI	$13.63 	-1.01	-6.90%	524613098	233478					
AMTX	$12.14 	-0.47	-3.73%	404136824	398705					
AMWD	$64.70 	-0.06	-0.09%	1072052150	96706					
AMWL	$6.05 	-0.12	-1.95%	1572752325	2431524					
AMZN	$3,413.22 	19.83	0.58%	1.73101E+12	2731861					
AN	$112.74 	-0.62	-0.55%	7388770355	819507					
ANAB	$35.93 	-0.57	-1.56%	988359637	60816					
ANAT	$188.47 	0.03	0.02%	5067430584	56178					
ANDE	$39.13 	0.18	0.46%	1302489084	129251					
ANF	$34.33 	-0.38	-1.10%	1939424121	1192362					
ANGI	$9.17 	-0.16	-1.72%	4606943462	554908					
ANGO	$28.37 	-0.58	-2.00%	1096512813	151018					
ANIK	$37.24 	-0.35	-0.93%	537625427	93188					
ANIP	$48.54 	-1.25	-2.51%	809149859	189801					
ANNX	$12.04 	0.03	0.25%	462033146	211093					
ANSS	$409.92 	-1.3	-0.32%	35766729264	204206					
ANTM	$464.21 	4.69	1.02%	1.12671E+11	752766					
ANZU	$9.76 	0	0.00%	518500000	39					
AOD	$10.37 	-0.01	-0.10%	1093319460	352957					
AON	$297.00 	-1.43	-0.48%	65438724582	587527					
AOS	$85.54 	0.84	0.99%	13614726205	523803					
APA	$27.93 	-0.04	-0.14%	10146250054	6778717					
APAM	$47.89 	-0.3	-0.62%	3785208312	291970					
APD	$303.99 	1.77	0.59%	67389826164	354540					
APEI	$22.81 	-0.64	-2.73%	426756191	168173					
APEN	$7.68 	-0.21	-2.66%	303302600	326783					
APH	$87.12 	0.19	0.22%	52100180368	1130691					
APLE	$16.14 	-0.19	-1.16%	3685637014	726740					
APLS	$47.30 	-0.54	-1.13%	4605027298	359054					
APO	$73.47 	-0.55	-0.74%	18116194543	1647143					
APOG	$48.31 	-0.48	-0.98%	1223917618	126400					
APP	$93.19 	-2.62	-2.74%	34873654524	499143					
APPF	$124.14 	-0.57	-0.46%	4303678196	46386					
APPH	$4.19 	-0.19	-4.34%	422956433	1305557					
APPN	$70.98 	-1.24	-1.72%	5052585381	543683					
APPS	$62.34 	-1.1	-1.73%	6023645141	16369096					
APR	$31.51 	-0.63	-1.96%	1117712290	192819					
APSG	$9.88 	0	0.00%	1008760350	48265					
APTM	$9.70 	0	0.00%	350921750	46					
APTS	$16.48 	-0.19	-1.14%	872552601	335615					
APYX	$12.44 	-0.53	-4.09%	427236250	45192					
AQUA	$46.81 	-0.43	-0.91%	5644690249	330031					
ARAY	$4.79 	-0.04	-0.83%	435501895	392097					
ARCB	$120.33 	-1.45	-1.19%	3076638593	506857					
ARCC	$20.89 	0.12	0.58%	9625149786	2780623					
ARCH	$92.04 	0	0.00%	1409690991	190012					
ARDC	$15.67 	-0.08	-0.51%	359077094	83154					
ARE	$221.99 	1.89	0.86%	34400535391	448932					
ARGU	$9.91 	0	0.00%	377509063	5					
ARHS	$11.88 	1.02	9.39%	1626923137	426103					
ARI	$13.50 	0.04	0.30%	1888569810	736739					
ARKO	$8.65 	0.11	1.29%	1076300513	327431					
ARLO	$10.18 	-0.2	-1.93%	858167963	1139684					
ARLP	$12.01 	-0.09	-0.74%	1527614580	336626					
ARNA	$92.67 	0.63	0.68%	5688692330	1271176					
AROC	$7.54 	0	0.00%	1161535703	740902					
AROW	$35.40 	-0.09	-0.25%	567228749	10334					
ARQT	$20.94 	0.72	3.56%	1053183121	248895					
ARR	$9.92 	0.07	0.71%	889715168	1083456					
ARRW	$9.71 	0	0.00%	348953125	9249					
ARRY	$15.92 	-0.61	-3.69%	2149628885	1902263					
ARTNA	$46.65 	0.78	1.70%	438803382	16941					
ARVN	$79.50 	-1.28	-1.59%	4203295778	162671					
ARW	$135.20 	0.96	0.72%	9413866758	242822					
ARWR	$66.06 	-0.24	-0.36%	6904968270	349577					
ASA	$21.20 	0.03	0.14%	408945986	72794					
ASAQ	$9.80 	0	0.00%	306250000	18483					
ASB	$22.70 	-0.02	-0.09%	3406687155	529065					
ASG	$9.20 	0.1	1.10%	493376809	167738					
ASGN	$124.15 	-0.04	-0.03%	6468215000	127522					
ASH	$105.73 	0.88	0.84%	6016923335	194675					
ASIX	$45.76 	-1.13	-2.41%	1287340729	175520					
ASLE	$17.29 	-0.39	-2.21%	777785774	64571					
ASO	$40.97 	-0.79	-1.89%	3627278704	1516728					
ASPN	$50.90 	-2.25	-4.23%	1683736319	252030					
ASTE	$70.51 	0.5	0.71%	1605136952	58520					
ASTR	$7.71 	-0.3	-3.75%	1991610670	2949098					
ASTS	$8.02 	-0.29	-3.49%	414873830	1030638					
ATAX	$6.57 	-0.26	-3.81%	433166033	191977					
ATEC	$11.92 	-0.56	-4.49%	1183573061	2192479					
ATEX	$59.41 	-0.46	-0.77%	1091149487	86260					
ATGE	$29.82 	-0.58	-1.91%	1483984338	347959					
ATHA	$12.49 	-0.15	-1.19%	466515289	158657					
ATI	$15.96 	0.06	0.38%	2030883634	845895					
ATKR	$112.02 	0.1	0.09%	5192302087	242483					
ATLC	$70.73 	-0.8	-1.12%	1067587303	97722					
ATNI	$40.12 	-0.15	-0.37%	634850254	18410					
ATO	$103.43 	-0.63	-0.61%	13725702663	735019					
ATOM	$20.14 	-1.26	-5.89%	466399663	151897					
ATR	$121.44 	1.55	1.29%	7994043753	438677					
ATRA	$17.24 	0.11	0.64%	1550176252	668271					
ATRC	$71.56 	-1.45	-1.99%	3286880968	201414					
ATRI	$715.44 	1.94	0.27%	1288309263	5240					
ATRO	$11.98 	0.07	0.59%	376895640	137003					
ATRS	$3.55 	0.02	0.57%	603650800	681975					
ATSG	$29.45 	0.28	0.96%	2185168030	169329					
ATUS	$16.31 	0.23	1.43%	7415400395	9176266					
ATVC	$9.78 	0.01	0.10%	337410000	434					
ATVI	$66.67 	1.22	1.86%	51928501895	13806295					
AUB	$38.17 	0.12	0.32%	2887679323	194106					
AUD	$2.48 	-0.09	-3.50%	350835139	813963					
AUID	$15.68 	-0.99	-5.94%	363872510	82824					
AUR	$11.64 	-0.49	-4.04%	13083098391	705734					
AURA	$16.18 	-1.43	-8.12%	472626683	34273					
AVA	$41.31 	-0.01	-0.02%	2923436118	185704					
AVAH	$7.12 	0.05	0.71%	1311248990	151059					
AVAV	$62.80 	-0.32	-0.51%	1558158683	170087					
AVB	$250.41 	0.71	0.28%	34992524278	384526					
AVD	$15.96 	0.13	0.82%	493698931	143220					
AVDX	$15.59 	0.13	0.84%	3058961309	634589					
AVGO	$669.00 	-5.28	-0.78%	2.76213E+11	1724721					
AVID	$32.64 	-0.32	-0.97%	1469517590	230391					
AVIR	$9.10 	-0.33	-3.50%	756234843	1009393					
AVK	$17.75 	-0.06	-0.34%	612822691	164614					
AVLR	$131.40 	-4.54	-3.34%	11420747289	362417					
AVNS	$34.17 	-0.06	-0.18%	1646535199	213478					
AVNT	$56.22 	0.14	0.25%	5143645384	331723					
AVNW	$31.67 	-1.13	-3.45%	354121494	109168					
AVO	$15.87 	0.02	0.13%	1120922302	182826					
AVPT	$6.36 	-0.03	-0.47%	1153832148	758948					
AVT	$41.29 	-0.01	-0.02%	4096880881	396570					
AVXL	$17.73 	-1.37	-7.17%	1347800080	720506					
AVY	$214.79 	2.29	1.08%	17783663273	186423					
AWF	$12.09 	0.04	0.33%	1042516795	162033					
AWI	$115.80 	0.26	0.23%	5497688029	72886					
AWK	$186.14 	2.56	1.39%	33791436413	375041					
AWP	$6.62 	0	0.00%	565400636	247951					
AWR	$101.20 	0.24	0.24%	3737948702	105145					
AX	$56.20 	0.39	0.70%	3343632600	109958					
AXDX	$4.81 	-0.19	-3.80%	335085726	331552					
AXGN	$9.32 	-0.42	-4.31%	387363050	294912					
AXL	$9.42 	-0.04	-0.42%	1074452180	451262					
AXNX	$56.93 	-0.19	-0.33%	2635707794	433487					
AXON	$153.81 	-7.31	-4.54%	10530997096	236288					
AXP	$164.41 	0.02	0.01%	1.27345E+11	2035320					
AXSM	$37.02 	-0.11	-0.30%	1395347956	289701					
AXTA	$32.80 	0.38	1.17%	7489911619	745409					
AXTI	$8.59 	-0.18	-2.05%	367400098	128627					
AYI	$214.94 	0.05	0.02%	7520112013	239042					
AYX	$61.81 	-1.66	-2.62%	4169322716	814072					
AZEK	$45.72 	0.32	0.71%	7080949602	512120					
AZO	$2,059.94 	12.88	0.63%	42505617696	83931					
AZPN	$152.00 	-0.66	-0.43%	10171641032	100802					
AZTA	$102.77 	-0.12	-0.12%	7698815793	388775					
AZZ	$55.37 	0.4	0.73%	1375366825	41486					
B	$46.85 	0.44	0.95%	2371889755	74184					
BA	$206.13 	2.96	1.46%	1.21142E+11	8879709					
BAC	$44.70 	0.06	0.13%	3.85638E+11	32492114					
BAH	$84.68 	0.68	0.81%	11338368830	345405					
BANC	$19.87 	0.15	0.76%	1245001703	106089					
BAND	$70.66 	0.16	0.23%	1775960031	183455					
BANF	$70.38 	0.53	0.76%	2292432632	49839					
BANR	$61.44 	-0.24	-0.39%	2104465428	92025					
BASE	$23.10 	-0.79	-3.31%	1007036138	501757					
BATRA	$28.22 	-0.37	-1.29%	1475429816	58835					
